setting                                                	  objective	  auction	 impression	    click	     cost	  win-rate	      CPM	     eCPC

# original
ipinyou, camp=1458, algo=ss_mdp, N=1000, c0=0.03125    	         11	   350000	      52757	       11	   748502	    15.07%	    14.19	    68.05
ipinyou, camp=3427, algo=rlb, N=1000, c0=0.03125       	        171	   350000	      21678	      171	   851729	     6.19%	    39.29	     4.98
ipinyou, camp=3476, algo=ss_mdp, N=1000, c0=0.03125    	         17	   350000	      51293	       17	   858971	    14.66%	    16.75	    50.53
ipinyou, camp=3476, algo=mcpc, N=1000, c0=0.03125      	         36	   350000	      16254	       36	   865811	     4.64%	    53.27	    24.05
ipinyou, camp=3476, algo=lin_bid, N=1000, c0=0.03125   	        113	   350000	       7915	      113	   352671	     2.26%	    44.56	     3.12
ipinyou, camp=3476, algo=rlb, N=1000, c0=0.03125       	        113	   350000	      18282	      113	   855048	     5.22%	    46.77	     7.57


# alpha 1e-8 simple quadratic penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        265	   350000	      37502	      265	   737643	    10.71%	    19.67	     2.78	 0.007066289797877446
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	          9	   350000	      51758	        9	  1009032	    14.79%	    19.50	   112.11	 0.0001738861625255999
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	          9	   343862	      66830	        9	   959062	    19.44%	    14.35	   106.56	 0.00013467005835702528
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         24	   350000	      55403	       24	   968500	    15.83%	    17.48	    40.35	 0.00043318953847264587
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         81	   156063	      40412	       81	   302474	    25.89%	     7.48	     3.73	 0.0020043551420370186
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        201	   300928	      17543	      201	   854755	     5.83%	    48.72	     4.25	 0.011457561420509604
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         42	   350000	      33137	       42	   832868	     9.47%	    25.13	    19.83	 0.0012674653710353985
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        171	   350000	      28999	      171	   871815	     8.29%	    30.06	     5.10	 0.005896755060519328
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        125	   350000	      24756	      125	   856277	     7.07%	    34.59	     6.85	 0.005049280982388108


# alpha 1e-9 simple quadratic penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        271	   350000	      34398	      271	   703548	     9.83%	    20.45	     2.60
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	          8	   350000	      48773	        8	  1002753	    13.94%	    20.56	   125.34
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	         11	   343862	      63745	       11	   958951	    18.54%	    15.04	    87.18
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         26	   350000	      53362	       26	   964131	    15.25%	    18.07	    37.08
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         82	   156063	      39471	       82	   290484	    25.29%	     7.36	     3.54
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        211	   300928	      14781	      211	   844481	     4.91%	    57.13	     4.00
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         51	   350000	      30755	       51	   829174	     8.79%	    26.96	    16.26
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        175	   350000	      25104	      175	   861425	     7.17%	    34.31	     4.92
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        126	   350000	      21137	      126	   852504	     6.04%	    40.33	     6.77


# alpha 1e-10 simple quadratic penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        271	   350000	      26598	      271	   535046	     7.60%	    20.12	     1.97
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	         10	   350000	      46929	       10	   990549	    13.41%	    21.11	    99.05
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	         11	   343862	      62385	       11	   958138	    18.14%	    15.36	    87.10
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         25	   350000	      51133	       25	   939242	    14.61%	    18.37	    37.57
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         77	   156063	      38221	       77	   276395	    24.49%	     7.23	     3.59
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        214	   300928	      13029	      214	   798500	     4.33%	    61.29	     3.73
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         45	   350000	      29333	       45	   823056	     8.38%	    28.06	    18.29
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        176	   350000	      22034	      176	   820623	     6.30%	    37.24	     4.66
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        126	   350000	      18946	      126	   847004	     5.41%	    44.71	     6.72



# alpha 1e-8 exp quadratic penalty camp 1458
# beta 4
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        255	   350000	      40854	      255	   749038	    11.67%	    18.33	     2.94	 0.006241738875018358
# beta 5
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        237	   350000	      41280	      237	   749684	    11.79%	    18.16	     3.16	 0.005741279069767442
# beta 6
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        226	   350000	      41403	      226	   749707	    11.83%	    18.11	     3.32	 0.0054585416515711424
# beta 7
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        211	   350000	      41616	      211	   749833	    11.89%	    18.02	     3.55	 0.005070165321030373


# alpha 1e-10 exp quadratic penalty camp 1458
# beta 1.004
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        266	   350000	      35206	      266	   731377	    10.06%	    20.77	     2.75	 0.007555530307333977
# beta 1.005
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        265	   350000	      35967	      265	   739358	    10.28%	    20.56	     2.79	 0.007367864987349515
# beta 1.006
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        261	   350000	      36617	      261	   743842	    10.46%	    20.31	     2.85	 0.007127836797116094
# beta 1.007
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        260	   350000	      37284	      260	   746638	    10.65%	    20.03	     2.87	 0.00697350069735007



# alpha 1e-9 beta 1.003 exp quadratic penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        263	   350000	      37175	      263	   741286	    10.62%	    19.94	     2.82
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	         12	   350000	      50629	       12	  1010395	    14.47%	    19.96	    84.20
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	         11	   343862	      65701	       11	   959159	    19.11%	    14.60	    87.20
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         22	   350000	      54843	       22	   969817	    15.67%	    17.68	    44.08
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         82	   156063	      40454	       82	   303819	    25.92%	     7.51	     3.71
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        202	   300928	      16707	      202	   856504	     5.55%	    51.27	     4.24
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         45	   350000	      32298	       45	   833479	     9.23%	    25.81	    18.52
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        172	   350000	      27754	      172	   873670	     7.93%	    31.48	     5.08
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        127	   350000	      23423	      127	   856768	     6.69%	    36.58	     6.75


# alpha 1e-10 beta 1.003 exp quadratic penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        271	   350000	      34120	      271	   717432	     9.75%	    21.03	     2.65
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	          8	   350000	      48407	        8	  1004906	    13.83%	    20.76	   125.61
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	         11	   343862	      63330	       11	   958895	    18.42%	    15.14	    87.17
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         26	   350000	      53009	       26	   965799	    15.15%	    18.22	    37.15
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         80	   156063	      39492	       80	   292952	    25.31%	     7.42	     3.66
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        209	   300928	      14565	      209	   848914	     4.84%	    58.28	     4.06
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         49	   350000	      30413	       49	   830550	     8.69%	    27.31	    16.95
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        177	   350000	      24606	      177	   864824	     7.03%	    35.15	     4.89
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        129	   350000	      20346	      129	   854126	     5.81%	    41.98	     6.62


# alpha 1e-10 beta 1.002 exp quadratic penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        271	   350000	      32453	      271	   684557	     9.27%	    21.09	     2.53
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	         10	   350000	      47959	       10	  1000524	    13.70%	    20.86	   100.05
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	         10	   343862	      62999	       10	   959152	    18.32%	    15.22	    95.92
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         25	   350000	      52612	       25	   961711	    15.03%	    18.28	    38.47
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         79	   156063	      38938	       79	   285011	    24.95%	     7.32	     3.61
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        213	   300928	      14164	      213	   841913	     4.71%	    59.44	     3.95
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         49	   350000	      30123	       49	   829080	     8.61%	    27.52	    16.92
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        176	   350000	      23856	      176	   857359	     6.82%	    35.94	     4.87
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        127	   350000	      19787	      127	   851159	     5.65%	    43.02	     6.70


# alpha 1e-9 abs penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        269	   350000	      16233	      269	   304474	     4.64%	    18.76	     1.13
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	         12	   350000	      42591	       12	   894973	    12.17%	    21.01	    74.58
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	          9	   343862	      60267	        9	   951894	    17.53%	    15.79	   105.77
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         20	   350000	      47300	       20	   860802	    13.51%	    18.20	    43.04
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         76	   156063	      37899	       76	   273323	    24.28%	     7.21	     3.60
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        212	   300928	      10721	      212	   680085	     3.56%	    63.43	     3.21
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         41	   350000	      27417	       41	   797254	     7.83%	    29.08	    19.45
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        177	   350000	      18310	      177	   729016	     5.23%	    39.82	     4.12
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        115	   350000	      17646	      115	   833920	     5.04%	    47.26	     7.25


# alpha 1e-10 abs penalty
ipinyou, camp=1458, algo=rlb_smooth, N=1000, c0=0.03125	        270	   350000	      16105	      270	   302203	     4.60%	    18.76	     1.12
ipinyou, camp=2259, algo=rlb_smooth, N=1000, c0=0.03125	         11	   350000	      42317	       11	   888182	    12.09%	    20.99	    80.74
ipinyou, camp=2261, algo=rlb_smooth, N=1000, c0=0.03125	          9	   343862	      60117	        9	   951713	    17.48%	    15.83	   105.75
ipinyou, camp=2821, algo=rlb_smooth, N=1000, c0=0.03125	         20	   350000	      47102	       20	   857468	    13.46%	    18.20	    42.87
ipinyou, camp=2997, algo=rlb_smooth, N=1000, c0=0.03125	         76	   156063	      37893	       76	   273248	    24.28%	     7.21	     3.60
ipinyou, camp=3358, algo=rlb_smooth, N=1000, c0=0.03125	        212	   300928	      10674	      212	   678206	     3.55%	    63.54	     3.20
ipinyou, camp=3386, algo=rlb_smooth, N=1000, c0=0.03125	         40	   350000	      27326	       40	   796046	     7.81%	    29.13	    19.90
ipinyou, camp=3427, algo=rlb_smooth, N=1000, c0=0.03125	        177	   350000	      18217	      177	   726848	     5.20%	    39.90	     4.11
ipinyou, camp=3476, algo=rlb_smooth, N=1000, c0=0.03125	        113	   350000	      17622	      113	   833200	     5.03%	    47.28	     7.37
